,repo,issues_opened,issues_closed,total_issues,pulls_opened,pulls_closed,total_pulls,n_commits,additions,deletions,total_changes
84,axilon_automation_docker,0,0,0,0,0,0,0,0.0,0.0,0.0
85,lcls-twincat-vacuum-serialdrivers,0,0,2,0,0,0,0,0.0,0.0,0.0
86,lcls-twincat-optics,0,0,4,0,0,0,8,84958.0,620.0,85578.0
87,lcls-plc-lfe-optics,0,0,5,0,0,0,8,123313.0,3351.0,126664.0
88,pmps-ui,0,0,14,0,0,1,0,0.0,0.0,0.0
89,lcls-plc-lfe-motion-kmono,0,0,0,0,0,0,0,0.0,0.0,0.0
90,lcls-plc-test-ads,0,0,0,0,0,0,0,0.0,0.0,0.0
91,lcls-plc-test-old-dev-arbiter,0,0,0,0,0,0,1,2.0,2.0,4.0
92,epics-pypdb,0,0,0,0,0,0,0,0.0,0.0,0.0
93,lcls-plc-lfe-vac,0,0,1,0,0,0,0,0.0,0.0,0.0
94,mks500-configurator,0,0,0,0,0,0,0,0.0,0.0,0.0
95,recordits,0,0,3,0,0,0,0,0.0,0.0,0.0
96,pcdsutils,0,0,13,0,0,1,2,2.0,0.0,2.0
97,lcls-plc-kfe-motion,0,0,5,0,0,0,2,561.0,679.0,1240.0
98,lcls-plc-test-m2k4-m3k4,0,0,0,0,0,0,0,0.0,0.0,0.0
99,svn-issues,0,0,1,0,0,0,0,0.0,0.0,0.0
100,pcds-logstash,0,0,5,0,0,1,0,0.0,0.0,0.0
101,pcds-plc-image-generator,0,0,5,0,0,0,0,0.0,0.0,0.0
102,lcls-plc-test-el2212-evaluation,0,0,0,0,0,0,0,0.0,0.0,0.0
103,lcls_plc_kfe_gatt,0,0,0,0,0,0,0,0.0,0.0,0.0
104,lcls-plc-txi-optics,0,0,0,0,0,0,0,0.0,0.0,0.0
105,PCB-Laser-Environmental-Sensor,0,0,0,0,0,0,0,0.0,0.0,0.0
106,lcls-plc-tmo-motion,0,0,6,0,0,0,9,2753.0,3545.0,6298.0
107,lcls-plc-kfe-rix-motion,0,0,3,0,0,0,2,6580.0,6578.0,13158.0
108,lcls-plc-example-vac-interface,0,0,0,0,0,0,1,2.0,1.0,3.0
109,pre-commit-hooks,1,0,9,0,0,0,0,0.0,0.0,0.0
110,ads-pydm2,0,0,0,0,0,0,0,0.0,0.0,0.0
111,pmps_test,0,0,2,0,0,0,0,0.0,0.0,0.0
112,qtpyinheritance,0,0,2,0,0,0,0,0.0,0.0,0.0
113,solid-attenuator,0,0,5,0,0,1,0,0.0,0.0,0.0
114,lcls-plc-lfe-gem,0,0,1,0,0,0,0,0.0,0.0,0.0
115,ophyd-ads,0,0,0,0,0,0,0,0.0,0.0,0.0
116,pyqt-designer-plugin-entry-points,0,0,0,0,0,0,0,0.0,0.0,0.0
117,lcls-plc-lfe-arbiter,0,0,3,0,0,1,0,0.0,0.0,0.0
118,lcls-plc-example-motion,0,0,2,0,0,0,1,4.0,1.0,5.0
119,lcls-plc-vls-vac,0,0,0,0,0,0,0,0.0,0.0,0.0
120,lcls-plc-crixs-vac,0,0,1,0,0,0,0,0.0,0.0,0.0
121,lcls-plc-crixs-motion,0,0,3,0,0,0,1,56122.0,1817.0,57939.0
122,typhos-displays,0,0,1,0,0,0,0,0.0,0.0,0.0
123,vacuumscreens,0,0,2,0,0,0,0,0.0,0.0,0.0
124,twincat-csv-to-pandas,0,0,0,0,0,0,0,0.0,0.0,0.0
125,lcls-plc-kfe-rix-vac,0,0,0,0,0,0,0,0.0,0.0,0.0
126,twincat-docs-template,1,0,2,0,0,0,4,94.0,4.0,98.0
127,icl,0,0,0,0,0,0,0,0.0,0.0,0.0
128,lcls-plc-roving-spectrometer,0,0,1,0,0,1,0,0.0,0.0,0.0
129,lcls-plc-kfe-arbiter,0,0,3,0,0,1,0,0.0,0.0,0.0
130,ads-async,1,0,8,0,0,0,32,712.0,5424.0,6136.0
131,lcls-plc-test-pfeiffer-tc110,0,0,0,0,0,0,0,0.0,0.0,0.0
132,qtpyohno,0,0,0,0,0,0,0,0.0,0.0,0.0
133,lcls-plc-rixs-optics,1,0,5,1,0,1,12,409109.0,192046.0,601155.0
134,IocManager,0,0,6,0,0,0,0,0.0,0.0,0.0
135,lucid_config,0,0,0,0,0,0,0,0.0,0.0,0.0
136,lcls-plc-xcs-liquid-jet,0,0,1,0,0,0,0,0.0,0.0,0.0
137,lcls-plc-test-m2k2,0,0,0,0,0,0,0,0.0,0.0,0.0
138,pcdsdevices_notepad,0,0,1,0,0,0,0,0.0,0.0,0.0
139,lcls-plc-lamp-vac,0,0,2,0,0,0,8,5820.0,1324.0,7144.0
140,sim-ioc,1,0,5,1,0,1,0,0.0,0.0,0.0
141,fluke_985,0,0,4,0,0,0,0,0.0,0.0,0.0
142,tmo,0,0,0,0,0,0,0,0.0,0.0,0.0
143,AT1K0-GATT-TRANS-CALC,0,0,0,0,0,0,0,0.0,0.0,0.0
